Date,Time,Open,High,Low,Close,Vol,OI
09/12/1997,17:00:00,1022.25000,1040.75000,1017.75000,1023.00000,9759,4059
09/15/1997,17:00:00,1037.75000,1044.00000,1033.25000,1035.50000,8551,3818
09/16/1997,17:00:00,1035.50000,1064.25000,1034.50000,1060.25000,11749,5314
09/17/1997,17:00:00,1060.25000,1066.75000,1055.75000,1060.25000,10849,5516
09/18/1997,17:00:00,1060.00000,1074.75000,1059.00000,1062.25000,11588,6122
09/19/1997,17:00:00,1064.25000,1067.50000,1057.25000,1065.25000,9880,5836
09/22/1997,17:00:00,1064.50000,1076.25000,1064.50000,1070.25000,12076,5993
09/23/1997,17:00:00,1069.50000,1071.50000,1060.75000,1066.75000,10148,5679
09/24/1997,17:00:00,1065.75000,1074.75000,1056.25000,1057.75000,14580,6194
09/25/1997,17:00:00,1058.00000,1061.75000,1049.75000,1051.00000,14114,6132
09/26/1997,17:00:00,1050.75000,1060.75000,1050.75000,1057.75000,12049,5666
09/29/1997,17:00:00,1057.50000,1068.75000,1054.50000,1066.25000,11104,5722
09/30/1997,17:00:00,1065.25000,1069.50000,1057.00000,1059.00000,15239,5864
10/01/1997,17:00:00,1059.75000,1070.75000,1058.75000,1067.50000,14015,5725
10/02/1997,17:00:00,1067.50000,1073.75000,1065.25000,1073.00000,9650,5132
10/03/1997,17:00:00,1073.50000,1089.75000,1066.00000,1079.50000,13273,6276
10/06/1997,17:00:00,1084.25000,1088.00000,1081.00000,1085.00000,8704,6372
10/07/1997,17:00:00,1084.50000,1096.50000,1081.75000,1093.75000,11618,7345
10/08/1997,17:00:00,1093.75000,1096.00000,1079.00000,1086.25000,16119,7885
10/09/1997,17:00:00,1084.50000,1087.50000,1073.50000,1082.25000,9275,8003
10/10/1997,17:00:00,1083.25000,1085.25000,1068.25000,1081.00000,6506,8061
10/13/1997,17:00:00,1081.00000,1086.00000,1078.25000,1080.75000,3805,8576
10/14/1997,17:00:00,1080.50000,1085.75000,1072.75000,1081.50000,11923,9618
10/15/1997,17:00:00,1080.00000,1081.00000,1072.25000,1077.75000,9715,10107
10/16/1997,17:00:00,1077.75000,1085.50000,1059.50000,1063.50000,12998,11013
10/17/1997,17:00:00,1063.25000,1064.25000,1039.75000,1054.00000,13452,11763
10/20/1997,17:00:00,1052.75000,1067.25000,1049.25000,1066.50000,11527,11917
10/21/1997,17:00:00,1067.75000,1084.75000,1066.25000,1083.25000,10576,12755
10/22/1997,17:00:00,1083.25000,1084.75000,1074.75000,1078.25000,10172,12717
10/23/1997,17:00:00,1077.25000,1078.50000,1051.75000,1060.25000,13536,13601
10/24/1997,17:00:00,1060.25000,1073.25000,1045.75000,1047.75000,14850,13590
10/27/1997,17:00:00,1046.75000,1048.25000,978.25000,978.25000,14950,14940
10/28/1997,17:00:00,966.25000,1037.25000,948.25000,1028.75000,16858,14796
10/29/1997,17:00:00,1028.25000,1046.25000,1020.50000,1029.25000,15742,15354
10/30/1997,17:00:00,1028.75000,1032.75000,1006.25000,1006.50000,13828,15041
10/31/1997,17:00:00,1006.25000,1030.50000,994.00000,1028.00000,14343,15041
11/03/1997,17:00:00,1028.00000,1052.25000,1025.50000,1051.00000,11431,15073
11/04/1997,17:00:00,1050.25000,1051.00000,1040.50000,1046.75000,11255,15299
11/05/1997,17:00:00,1045.75000,1060.25000,1042.50000,1051.25000,10763,15517
11/06/1997,17:00:00,1050.75000,1051.75000,1041.50000,1046.25000,8763,15339
11/07/1997,17:00:00,1034.25000,1047.25000,1020.75000,1038.50000,13406,15860
11/10/1997,17:00:00,1034.25000,1044.75000,1027.00000,1030.25000,9856,15564
11/11/1997,17:00:00,1030.25000,1037.00000,1026.75000,1031.00000,6634,15508
11/12/1997,17:00:00,1030.75000,1033.75000,1009.75000,1013.00000,13836,16443
11/13/1997,17:00:00,1011.25000,1026.75000,1006.75000,1024.25000,13872,16425
11/14/1997,17:00:00,1024.25000,1039.00000,1019.25000,1037.00000,11339,16821
11/17/1997,17:00:00,1036.25000,1058.75000,1036.25000,1054.50000,9785,16590
11/18/1997,17:00:00,1054.25000,1058.75000,1044.25000,1047.00000,10738,16724
11/19/1997,17:00:00,1046.50000,1055.75000,1040.50000,1052.00000,11297,16891
11/20/1997,17:00:00,1052.25000,1069.75000,1051.25000,1067.25000,10088,17424
11/21/1997,17:00:00,1066.75000,1075.25000,1054.00000,1054.00000,9752,17388
